year,period,periodName,latest,value,footnotes,series_id
2024,M11,November,True,308.998,[{}],CWUR0000SA0
2024,M10,October,,309.358,[{}],CWUR0000SA0
2024,M09,September,,309.046,[{}],CWUR0000SA0
2024,M08,August,,308.64,[{}],CWUR0000SA0
2024,M07,July,,308.501,[{}],CWUR0000SA0
2024,M06,June,,308.054,[{}],CWUR0000SA0
2024,M05,May,,308.163,[{}],CWUR0000SA0
2024,M04,April,,307.811,[{}],CWUR0000SA0
2024,M03,March,,306.502,[{}],CWUR0000SA0
2024,M02,February,,304.284,[{}],CWUR0000SA0
2024,M01,January,,302.201,[{}],CWUR0000SA0
2023,M12,December,,300.728,[{}],CWUR0000SA0
2023,M11,November,,301.224,[{}],CWUR0000SA0
2023,M10,October,,302.071,[{}],CWUR0000SA0
2023,M09,September,,302.257,[{}],CWUR0000SA0
2023,M08,August,,301.551,[{}],CWUR0000SA0
2023,M07,July,,299.899,[{}],CWUR0000SA0
2023,M06,June,,299.394,[{}],CWUR0000SA0
2023,M05,May,,298.382,[{}],CWUR0000SA0
2023,M04,April,,297.73,[{}],CWUR0000SA0
2023,M03,March,,296.021,[{}],CWUR0000SA0
2023,M02,February,,295.057,[{}],CWUR0000SA0
2023,M01,January,,293.565,[{}],CWUR0000SA0
2022,M12,December,,291.051,[{}],CWUR0000SA0
2022,M11,November,,292.495,[{}],CWUR0000SA0
2022,M10,October,,293.003,[{}],CWUR0000SA0
2022,M09,September,,291.854,[{}],CWUR0000SA0
2022,M08,August,,291.629,[{}],CWUR0000SA0
2022,M07,July,,292.219,[{}],CWUR0000SA0
2022,M06,June,,292.542,[{}],CWUR0000SA0
2022,M05,May,,288.022,[{}],CWUR0000SA0
2022,M04,April,,284.575,[{}],CWUR0000SA0
2022,M03,March,,283.176,[{}],CWUR0000SA0
2022,M02,February,,278.943,[{}],CWUR0000SA0
2022,M01,January,,276.296,[{}],CWUR0000SA0
2021,M12,December,,273.925,[{}],CWUR0000SA0
2021,M11,November,,273.042,[{}],CWUR0000SA0
2021,M10,October,,271.552,[{}],CWUR0000SA0
2021,M09,September,,269.086,[{}],CWUR0000SA0
2021,M08,August,,268.387,[{}],CWUR0000SA0
2021,M07,July,,267.789,[{}],CWUR0000SA0
2021,M06,June,,266.412,[{}],CWUR0000SA0
2021,M05,May,,263.612,[{}],CWUR0000SA0
2021,M04,April,,261.237,[{}],CWUR0000SA0
2021,M03,March,,258.935,[{}],CWUR0000SA0
2021,M02,February,,256.843,[{}],CWUR0000SA0
2021,M01,January,,255.296,[{}],CWUR0000SA0
2020,M12,December,,254.081,[{}],CWUR0000SA0
2020,M11,November,,253.826,[{}],CWUR0000SA0
2020,M10,October,,254.076,[{}],CWUR0000SA0
2020,M09,September,,254.004,[{}],CWUR0000SA0
2020,M08,August,,253.597,[{}],CWUR0000SA0
2020,M07,July,,252.636,[{}],CWUR0000SA0
2020,M06,June,,251.054,[{}],CWUR0000SA0
2020,M05,May,,249.521,[{}],CWUR0000SA0
2020,M04,April,,249.515,[{}],CWUR0000SA0
2020,M03,March,,251.375,[{}],CWUR0000SA0
