year,period,periodName,latest,value,footnotes,series_id
2024,M11,November,True,146.093,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD4
2024,M10,October,,145.997,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD4
2024,M09,September,,145.523,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD4
2024,M08,August,,145.566,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD4
2024,M07,July,,145.264,[{}],WPUFD4
2024,M06,June,,145.321,[{}],WPUFD4
2024,M05,May,,144.504,[{}],WPUFD4
2024,M04,April,,144.563,[{}],WPUFD4
2024,M03,March,,143.784,[{}],WPUFD4
2024,M02,February,,143.26,[{}],WPUFD4
2024,M01,January,,142.186,[{}],WPUFD4
2023,M12,December,,141.267,[{}],WPUFD4
2023,M11,November,,141.869,[{}],WPUFD4
2023,M10,October,,142.258,[{}],WPUFD4
2023,M09,September,,142.618,[{}],WPUFD4
2023,M08,August,,142.641,[{}],WPUFD4
2023,M07,July,,141.871,[{}],WPUFD4
2023,M06,June,,141.181,[{}],WPUFD4
2023,M05,May,,140.912,[{}],WPUFD4
2023,M04,April,,141.303,[{}],WPUFD4
2023,M03,March,,140.995,[{}],WPUFD4
2023,M02,February,,140.956,[{}],WPUFD4
2023,M01,January,,140.713,[{}],WPUFD4
2022,M12,December,,139.78,[{}],WPUFD4
2022,M11,November,,140.785,[{}],WPUFD4
2022,M10,October,,140.74,[{}],WPUFD4
2022,M09,September,,140.066,[{}],WPUFD4
2022,M08,August,,139.965,[{}],WPUFD4
2022,M07,July,,140.284,[{}],WPUFD4
2022,M06,June,,140.819,[{}],WPUFD4
2022,M05,May,,139.419,[{}],WPUFD4
2022,M04,April,,138.179,[{}],WPUFD4
2022,M03,March,,137.341,[{}],WPUFD4
2022,M02,February,,134.581,[{}],WPUFD4
2022,M01,January,,133.074,[{}],WPUFD4
2021,M12,December,,131.344,[{}],WPUFD4
2021,M11,November,,131.09,[{}],WPUFD4
2021,M10,October,,130.097,[{}],WPUFD4
2021,M09,September,,129.116,[{}],WPUFD4
2021,M08,August,,128.755,[{}],WPUFD4
2021,M07,July,,127.824,[{}],WPUFD4
2021,M06,June,,126.6,[{}],WPUFD4
2021,M05,May,,125.5,[{}],WPUFD4
2021,M04,April,,124.3,[{}],WPUFD4
2021,M03,March,,123.0,[{}],WPUFD4
2021,M02,February,,121.9,[{}],WPUFD4
2021,M01,January,,120.9,[{}],WPUFD4
2020,M12,December,,119.4,[{}],WPUFD4
2020,M11,November,,119.3,[{}],WPUFD4
2020,M10,October,,119.5,[{}],WPUFD4
2020,M09,September,,118.7,[{}],WPUFD4
2020,M08,August,,118.5,[{}],WPUFD4
2020,M07,July,,118.4,[{}],WPUFD4
2020,M06,June,,117.7,[{}],WPUFD4
2020,M05,May,,117.3,[{}],WPUFD4
2020,M04,April,,116.7,[{}],WPUFD4
2020,M03,March,,118.1,[{}],WPUFD4
2020,M02,February,,118.4,[{}],WPUFD4
2020,M01,January,,119.0,[{}],WPUFD4
2024,M11,November,true,146.093,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD4
2024,M10,October,,145.997,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD4
2024,M09,September,,145.523,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD4
2024,M08,August,,145.566,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD4
2024,M07,July,,145.264,[{}],WPUFD4
2024,M06,June,,145.321,[{}],WPUFD4
2024,M05,May,,144.504,[{}],WPUFD4
2024,M04,April,,144.563,[{}],WPUFD4
2024,M03,March,,143.784,[{}],WPUFD4
2024,M02,February,,143.260,[{}],WPUFD4
2024,M01,January,,142.186,[{}],WPUFD4
2023,M12,December,,141.267,[{}],WPUFD4
2023,M11,November,,141.869,[{}],WPUFD4
2023,M10,October,,142.258,[{}],WPUFD4
2023,M09,September,,142.618,[{}],WPUFD4
2023,M08,August,,142.641,[{}],WPUFD4
2023,M07,July,,141.871,[{}],WPUFD4
2023,M06,June,,141.181,[{}],WPUFD4
2023,M05,May,,140.912,[{}],WPUFD4
2023,M04,April,,141.303,[{}],WPUFD4
2023,M03,March,,140.995,[{}],WPUFD4
2023,M02,February,,140.956,[{}],WPUFD4
2023,M01,January,,140.713,[{}],WPUFD4
2022,M12,December,,139.780,[{}],WPUFD4
2022,M11,November,,140.785,[{}],WPUFD4
2022,M10,October,,140.740,[{}],WPUFD4
2022,M09,September,,140.066,[{}],WPUFD4
2022,M08,August,,139.965,[{}],WPUFD4
2022,M07,July,,140.284,[{}],WPUFD4
