year,period,periodName,latest,value,footnotes,series_id
2024,M11,November,True,148.7,[{}],EIUIQ
2024,M10,October,,148.7,"[{'code': 'R', 'text': 'Revised.'}]",EIUIQ
2024,M09,September,,147.3,"[{'code': 'R', 'text': 'Revised.'}]",EIUIQ
2024,M08,August,,148.2,"[{'code': 'R', 'text': 'Revised.'}]",EIUIQ
2024,M07,July,,149.2,[{}],EIUIQ
2024,M06,June,,148.4,[{}],EIUIQ
2024,M05,May,,148.8,[{}],EIUIQ
2024,M04,April,,149.8,[{}],EIUIQ
2024,M03,March,,148.8,[{}],EIUIQ
2024,M02,February,,148.6,[{}],EIUIQ
2024,M01,January,,147.5,[{}],EIUIQ
2023,M12,December,,146.5,[{}],EIUIQ
2023,M11,November,,147.5,[{}],EIUIQ
2023,M10,October,,148.6,[{}],EIUIQ
2023,M09,September,,150.0,[{}],EIUIQ
2023,M08,August,,149.2,[{}],EIUIQ
2023,M07,July,,147.5,[{}],EIUIQ
2023,M06,June,,147.0,[{}],EIUIQ
2023,M05,May,,147.9,[{}],EIUIQ
2023,M04,April,,151.0,[{}],EIUIQ
2023,M03,March,,151.1,[{}],EIUIQ
2023,M02,February,,151.7,[{}],EIUIQ
2023,M01,January,,151.1,[{}],EIUIQ
2022,M12,December,,150.8,[{}],EIUIQ
2022,M11,November,,155.4,[{}],EIUIQ
2022,M10,October,,156.0,[{}],EIUIQ
2022,M09,September,,156.8,[{}],EIUIQ
2022,M08,August,,158.3,[{}],EIUIQ
2022,M07,July,,160.5,[{}],EIUIQ
2022,M06,June,,166.7,[{}],EIUIQ
2022,M05,May,,164.9,[{}],EIUIQ
2022,M04,April,,160.6,[{}],EIUIQ
2022,M03,March,,159.0,[{}],EIUIQ
2022,M02,February,,153.0,[{}],EIUIQ
2022,M01,January,,148.2,[{}],EIUIQ
2021,M12,December,,144.2,[{}],EIUIQ
2021,M11,November,,146.5,[{}],EIUIQ
2021,M10,October,,145.5,[{}],EIUIQ
2021,M09,September,,142.8,[{}],EIUIQ
2021,M08,August,,142.4,[{}],EIUIQ
2021,M07,July,,142.1,[{}],EIUIQ
2021,M06,June,,140.6,[{}],EIUIQ
2021,M05,May,,139.0,[{}],EIUIQ
2021,M04,April,,135.9,[{}],EIUIQ
2021,M03,March,,134.3,[{}],EIUIQ
2021,M02,February,,131.0,[{}],EIUIQ
2021,M01,January,,128.9,[{}],EIUIQ
2020,M12,December,,125.5,[{}],EIUIQ
2020,M11,November,,124.0,[{}],EIUIQ
2020,M10,October,,123.0,[{}],EIUIQ
2020,M09,September,,122.8,[{}],EIUIQ
2020,M08,August,,122.1,[{}],EIUIQ
2020,M07,July,,121.5,[{}],EIUIQ
2020,M06,June,,120.3,[{}],EIUIQ
2020,M05,May,,118.2,[{}],EIUIQ
2020,M04,April,,118.2,[{}],EIUIQ
2020,M03,March,,122.5,[{}],EIUIQ
2020,M02,February,,124.3,[{}],EIUIQ
2020,M01,January,,125.8,[{}],EIUIQ
2024,M11,November,true,148.7,[{}],EIUIQ
2024,M10,October,,148.7,"[{'code': 'R', 'text': 'Revised.'}]",EIUIQ
2024,M09,September,,147.3,"[{'code': 'R', 'text': 'Revised.'}]",EIUIQ
2024,M08,August,,148.2,"[{'code': 'R', 'text': 'Revised.'}]",EIUIQ
2024,M07,July,,149.2,[{}],EIUIQ
2024,M06,June,,148.4,[{}],EIUIQ
2024,M05,May,,148.8,[{}],EIUIQ
2024,M04,April,,149.8,[{}],EIUIQ
2024,M03,March,,148.8,[{}],EIUIQ
2024,M02,February,,148.6,[{}],EIUIQ
2024,M01,January,,147.5,[{}],EIUIQ
2023,M12,December,,146.5,[{}],EIUIQ
2023,M11,November,,147.5,[{}],EIUIQ
2023,M10,October,,148.6,[{}],EIUIQ
2023,M09,September,,150.0,[{}],EIUIQ
2023,M08,August,,149.2,[{}],EIUIQ
2023,M07,July,,147.5,[{}],EIUIQ
2023,M06,June,,147.0,[{}],EIUIQ
2023,M05,May,,147.9,[{}],EIUIQ
2023,M04,April,,151.0,[{}],EIUIQ
2023,M03,March,,151.1,[{}],EIUIQ
2023,M02,February,,151.7,[{}],EIUIQ
2023,M01,January,,151.1,[{}],EIUIQ
2022,M12,December,,150.8,[{}],EIUIQ
2022,M11,November,,155.4,[{}],EIUIQ
2022,M10,October,,156.0,[{}],EIUIQ
2022,M09,September,,156.8,[{}],EIUIQ
2022,M08,August,,158.3,[{}],EIUIQ
2022,M07,July,,160.5,[{}],EIUIQ
